"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"5991";"1";"22";"776";"1997-1";"1997 Gasolina"
"5992";"1";"22";"776";"1996-1";"1996 Gasolina"
"5993";"1";"161";"7902";"2019-1";"2019 Gasolina"
"5994";"1";"161";"7902";"2018-1";"2018 Gasolina"
"5995";"1";"22";"777";"1999-1";"1999 Gasolina"
"5996";"1";"22";"777";"1998-1";"1998 Gasolina"
"5997";"1";"22";"777";"1997-1";"1997 Gasolina"
"5998";"1";"22";"777";"1996-1";"1996 Gasolina"
"5999";"1";"161";"5534";"2015-1";"2015 Gasolina"
"6000";"1";"161";"5534";"2014-1";"2014 Gasolina"
"6001";"1";"161";"5534";"2013-1";"2013 Gasolina"
"6002";"1";"161";"5534";"2012-1";"2012 Gasolina"
"6003";"1";"161";"5534";"2011-1";"2011 Gasolina"
"6004";"1";"22";"778";"2000-1";"2000 Gasolina"
"6005";"1";"22";"778";"1999-1";"1999 Gasolina"
"6006";"1";"22";"778";"1998-1";"1998 Gasolina"
"6007";"1";"22";"778";"1997-1";"1997 Gasolina"
"6008";"1";"22";"778";"1996-1";"1996 Gasolina"
"6009";"1";"161";"5740";"2012-1";"2012 Gasolina"
"6010";"1";"161";"5740";"2011-1";"2011 Gasolina"
"6011";"1";"161";"5740";"2010-1";"2010 Gasolina"
"6012";"1";"22";"779";"2002-1";"2002 Gasolina"
"6013";"1";"22";"779";"2001-1";"2001 Gasolina"
"6014";"1";"22";"779";"2000-1";"2000 Gasolina"
"6015";"1";"161";"8339";"2022-1";"2022 Gasolina"
"6016";"1";"161";"8339";"2021-1";"2021 Gasolina"
"6017";"1";"161";"8339";"2020-1";"2020 Gasolina"
"6018";"1";"161";"8339";"2019-1";"2019 Gasolina"
"6019";"1";"22";"780";"2002-1";"2002 Gasolina"
"6020";"1";"22";"780";"2001-1";"2001 Gasolina"
"6021";"1";"22";"780";"2000-1";"2000 Gasolina"
"6022";"1";"22";"781";"2002-1";"2002 Gasolina"
"6023";"1";"22";"781";"2001-1";"2001 Gasolina"
"6024";"1";"22";"781";"2000-1";"2000 Gasolina"
"6025";"1";"161";"8278";"2019-1";"2019 Gasolina"
"6026";"1";"161";"8278";"2018-1";"2018 Gasolina"
"6027";"1";"22";"782";"2002-1";"2002 Gasolina"
"6028";"1";"22";"782";"2001-1";"2001 Gasolina"
"6029";"1";"22";"782";"2000-1";"2000 Gasolina"
"6030";"1";"161";"9227";"2021-1";"2021 Gasolina"
"6031";"1";"161";"8340";"2022-1";"2022 Gasolina"
"6032";"1";"161";"8340";"2021-1";"2021 Gasolina"
"6033";"1";"161";"8340";"2020-1";"2020 Gasolina"
"6034";"1";"161";"8340";"2019-1";"2019 Gasolina"
"6035";"1";"22";"783";"2002-1";"2002 Gasolina"
"6036";"1";"22";"783";"2001-1";"2001 Gasolina"
"6037";"1";"22";"783";"2000-1";"2000 Gasolina"
"6038";"1";"22";"784";"2007-1";"2007 Gasolina"
"6039";"1";"22";"784";"2006-1";"2006 Gasolina"
"6040";"1";"22";"784";"2005-1";"2005 Gasolina"
"6041";"1";"22";"784";"2004-1";"2004 Gasolina"
"6042";"1";"22";"784";"2003-1";"2003 Gasolina"
"6043";"1";"161";"8279";"2022-1";"2022 Gasolina"
"6044";"1";"161";"8279";"2021-1";"2021 Gasolina"
"6045";"1";"161";"8279";"2020-1";"2020 Gasolina"
"6046";"1";"161";"8279";"2019-1";"2019 Gasolina"
"6047";"1";"22";"6425";"2014-1";"2014 Gasolina"
"6048";"1";"161";"9492";"2022-1";"2022 Gasolina"
